Monitoreo,Nombre_punto,Norte,Este,Elevacion,Fecha,Altura_tanque,Nivel_tanque
16,PUNTO - 25,463.243,440.384,100.294,30 ABRIL 2016,3.159,0
16,PUNTO - 26,454.269,444.712,100.289,30 ABRIL 2016,3.159,0
16,PUNTO - 27,444.894,446.971,100.286,30 ABRIL 2016,3.159,0
16,PUNTO - 28,434.973,447.213,100.287,30 ABRIL 2016,3.159,0
16,PUNTO - 29,425.225,445.373,100.295,30 ABRIL 2016,3.159,0
16,PUNTO - 30,416.08,441.5,100.309,30 ABRIL 2016,3.159,0
17,PUNTO - 1 = 127º,410.572,437.928,100.322,07 JUNIO 2016,2.031,0
17,PUNTO - 2,403.36,431.074,100.333,07 JUNIO 2016,2.031,0
17,PUNTO - 3,397.761,422.842,100.34,07 JUNIO 2016,2.031,0
17,PUNTO - 4,394.055,413.624,100.343,07 JUNIO 2016,2.031,0
17,PUNTO - 5,392.38,403.843,100.342,07 JUNIO 2016,2.031,0
17,PUNTO - 6,392.836,393.921,100.321,07 JUNIO 2016,2.031,0
17,PUNTO - 7,395.404,384.327,100.301,07 JUNIO 2016,2.031,0
17,PUNTO - 8,399.964,375.497,100.293,07 JUNIO 2016,2.031,0
17,PUNTO - 9,406.375,367.719,100.309,07 JUNIO 2016,2.031,0
17,PUNTO - 10,411.155,363.657,100.317,07 JUNIO 2016,2.031,0
17,PUNTO - 11,419.736,358.648,100.341,07 JUNIO 2016,2.031,0
17,PUNTO - 12,429.184,355.582,100.338,07 JUNIO 2016,2.031,0
17,PUNTO - 13,439.112,354.602,100.327,07 JUNIO 2016,2.031,0
17,PUNTO - 14,448.976,355.751,100.316,07 JUNIO 2016,2.031,0
17,PUNTO - 15,458.354,358.966,100.312,07 JUNIO 2016,2.031,0
17,PUNTO - 16,466.867,364.114,100.303,07 JUNIO 2016,2.031,0
17,PUNTO - 17,474.076,370.963,100.298,07 JUNIO 2016,2.031,0
17,PUNTO - 18,479.666,379.188,100.293,07 JUNIO 2016,2.031,0
17,PUNTO - 19,483.347,388.427,100.298,07 JUNIO 2016,2.031,0
17,PUNTO - 20,484.998,398.201,100.309,07 JUNIO 2016,2.031,0
17,PUNTO - 21,484.503,408.266,100.32,07 JUNIO 2016,2.031,0
17,PUNTO - 22,482.096,417.912,100.309,07 JUNIO 2016,2.031,0
17,PUNTO - 23,477.407,426.59,100.294,07 JUNIO 2016,2.031,0
17,PUNTO - 24,471.085,434.24,100.295,07 JUNIO 2016,2.031,0
17,PUNTO - 25,463.244,440.384,100.297,07 JUNIO 2016,2.031,0
17,PUNTO - 26,454.271,444.711,100.292,07 JUNIO 2016,2.031,0
17,PUNTO - 27,444.895,446.97,100.289,07 JUNIO 2016,2.031,0
17,PUNTO - 28,434.974,447.21,100.29,07 JUNIO 2016,2.031,0
17,PUNTO - 29,425.226,445.373,100.299,07 JUNIO 2016,2.031,0
17,PUNTO - 30,416.08,441.499,100.312,07 JUNIO 2016,2.031,0
18,PUNTO - 1 = 127º,410.573,437.928,100.321,01 FEBRERO 2017,3.671,0
18,PUNTO - 2,403.363,431.075,100.332,01 FEBRERO 2017,3.671,0
18,PUNTO - 3,397.762,422.842,100.339,01 FEBRERO 2017,3.671,0
18,PUNTO - 4,394.058,413.623,100.343,01 FEBRERO 2017,3.671,0
18,PUNTO - 5,392.381,403.842,100.341,01 FEBRERO 2017,3.671,0
18,PUNTO - 6,392.833,393.92,100.318,01 FEBRERO 2017,3.671,0
18,PUNTO - 7,395.401,384.325,100.299,01 FEBRERO 2017,3.671,0
18,PUNTO - 8,399.962,375.495,100.291,01 FEBRERO 2017,3.671,0
18,PUNTO - 9,406.373,367.719,100.304,01 FEBRERO 2017,3.671,0
18,PUNTO - 10,411.154,363.658,100.314,01 FEBRERO 2017,3.671,0
18,PUNTO - 11,419.736,358.65,100.338,01 FEBRERO 2017,3.671,0
18,PUNTO - 12,429.183,355.579,100.334,01 FEBRERO 2017,3.671,0
18,PUNTO - 13,439.11,354.599,100.324,01 FEBRERO 2017,3.671,0
18,PUNTO - 14,448.975,355.749,100.312,01 FEBRERO 2017,3.671,0
18,PUNTO - 15,458.353,358.965,100.309,01 FEBRERO 2017,3.671,0
18,PUNTO - 16,466.865,364.113,100.3,01 FEBRERO 2017,3.671,0
18,PUNTO - 17,474.075,370.963,100.293,01 FEBRERO 2017,3.671,0
18,PUNTO - 18,479.665,379.186,100.289,01 FEBRERO 2017,3.671,0
18,PUNTO - 19,483.346,388.427,100.294,01 FEBRERO 2017,3.671,0
18,PUNTO - 20,484.998,398.2,100.305,01 FEBRERO 2017,3.671,0
18,PUNTO - 21,484.502,408.265,100.317,01 FEBRERO 2017,3.671,0
18,PUNTO - 22,482.095,417.911,100.304,01 FEBRERO 2017,3.671,0
18,PUNTO - 23,477.407,426.589,100.29,01 FEBRERO 2017,3.671,0
18,PUNTO - 24,471.088,434.24,100.29,01 FEBRERO 2017,3.671,0
18,PUNTO - 25,463.248,440.384,100.291,01 FEBRERO 2017,3.671,0
18,PUNTO - 26,454.274,444.712,100.286,01 FEBRERO 2017,3.671,0
18,PUNTO - 27,444.899,446.971,100.284,01 FEBRERO 2017,3.671,0
18,PUNTO - 28,434.978,447.212,100.285,01 FEBRERO 2017,3.671,0
18,PUNTO - 29,425.227,445.373,100.294,01 FEBRERO 2017,3.671,0
18,PUNTO - 30,416.081,441.499,100.308,01 FEBRERO 2017,3.671,0
20,PUNTO - 1 = 127º,410.573,437.928,100.321,14 DE JUNIO 2019,2.389,0
20,PUNTO - 2,403.362,431.074,100.336,14 DE JUNIO 2019,2.389,0
20,PUNTO - 3,397.762,422.842,100.34,14 DE JUNIO 2019,2.389,0
20,PUNTO - 4,394.058,413.622,100.346,14 DE JUNIO 2019,2.389,0
20,PUNTO - 5,392.382,403.841,100.343,14 DE JUNIO 2019,2.389,0
20,PUNTO - 6,392.835,393.919,100.319,14 DE JUNIO 2019,2.389,0
20,PUNTO - 7,395.403,384.324,100.299,14 DE JUNIO 2019,2.389,0
20,PUNTO - 8,399.963,375.493,100.292,14 DE JUNIO 2019,2.389,0
20,PUNTO - 9,406.374,367.716,100.305,14 DE JUNIO 2019,2.389,0
20,PUNTO - 10,411.155,363.655,100.314,14 DE JUNIO 2019,2.389,0
20,PUNTO - 11,419.737,358.647,100.339,14 DE JUNIO 2019,2.389,0
20,PUNTO - 12,429.184,355.584,100.335,14 DE JUNIO 2019,2.389,0
20,PUNTO - 13,439.112,354.604,100.325,14 DE JUNIO 2019,2.389,0
20,PUNTO - 14,448.977,355.753,100.313,14 DE JUNIO 2019,2.389,0
